file,whisper_script,assigned_label,wer_error
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@KenhBongDaVietNam2023_1/000000027/000000027_000000109.wav,trải nghiệm thế giới thể thao không giới hạn cùng fpt play,trải nghiệm thế giới thể thao không giới hạn cùngép pê tê pờ lây,35.71428571
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day01/@quanglinhvlogs97_1/000000087/000000087_000000033.wav,còn edit thì về tối tối về là nam sẽ edit,còn ê đít thì về tối tối về là nam sẽ ê đít tơ,35.71428571
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day03/@T0NY94_0/000000134/000000134_000000073.wav,cái trò cảm giác mạnh như vậy luôn á,chơi cái trò cảm giác mạnh như vậy luôn á đi rồi kìa á,35.71428571
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@hautruongthethao_0/000000018/000000018_000000589.wav,và họ vẫn đang chờ đợi trận đấu với indonesia,và họ vẫn đang chờ đợi trận đấu với in đô nê xi a,35.71428571
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@PhimVietNamTHVL1_1/000000055/000000055_000000381.wav,anh muốn theo dõi tôi sẽ để cho anh theo dõi,anh muốn theo dõi tôi sẽ để cho anh theo dõi đi xe ôm không em ơi,35.29411765
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@FPTBongDaOfficial_1/000000137/000000137_000000147.wav,đừng quên để like comment phía dưới video để cùng nhau trao đổi nhé,đừng quên để lại còm men phía dưới vi đi ô để cùng nhau trao đổi nhé,35.29411765
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day01/@truyenhinhnghean_1/000000008/000000008_000000005.wav,mỹ vất vả tìm cách quản lý khủng hoảng của xung đột ukraine và israel,mỹ vất vả tìm cách quản lý khủng hoảng của xung đột u cờ rai na và ít xa ren,35
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@tv360vtt_0/000000080/000000080_000000302.wav,nhưng phải có một cú hích từ chelsea cái lúc mà jose muino đến cái lúc mà abdulavov thực sự đầu tư vào câu lạc bộ này,nhưng phải có một cú hích từ cheo si cái lúc mà giô sê mô ri nho đến cái lúc mà a bờ ra mô vích thực sự đầu tư vào câu lạc bộ này,34.28571429
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day02/@VuongPhamReal_0/000000008/000000008_000000372.wav,mấy cô mấy chú đang hỗ trợ,mấy cô mấy chú đây hỗ trợ cũng để,33.33333333
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day03/@EntertainmentHTV_1/000000068/000000068_000000029.wav,hoa xin mời,và xin mời,33.33333333
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day01/@caoanhtrungvlog_1/000000008/000000008_000000042.wav,sis của cần thơ được bốn ngày,s ai s của cần thơ được bốn ngày,33.33333333
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day02/@SangVlog9_0/000000002/000000002_000000444.wav,từ từ từ từ,ôi ôi từ từ từ từ,33.33333333
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@FPTBongDaOfficial_1/000000076/000000076_000000194.wav,trải nghiệm thế giới thể thao không giới hạn cùng fpt play,trải nghiệm thế giới thể thao không giới hạn cùng ép pê tê pờ lây,33.33333333
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day02/@POPSTVVIETNAM_0/000000132/000000132_000000726.wav,cẩn thận nhé,cẩn thận nha,33.33333333
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day01/@truyenhinhnghean_1/000000063/000000063_000000302.wav,tại singapore hôm mùng hai tháng sáu,tại xin ga po hôm mùng hai tháng sáu,33.33333333
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day02/@SangVlog9_0/000000008/000000008_000000031.wav,xin phép mọi người sang sẽ đứng trên xuồng nha,à xin phép mọi người là sang sẽ đứng trên xuồng nha tại vì à,33.33333333
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day03/@dongtaypromotionofficial_1/000000006/000000006_000000157.wav,anh luôn anh luôn anh luôn không có chơi vậy luôn ơi ngân vô ngân,anh lương anh lương anh lương không có chơi vậy lương vô ngân vô ngân,33.33333333
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day02/@VuongPhamReal_0/000000131/000000131_000000179.wav,làm công trình ở đây đó,à làm công trình ở đây,33.33333333
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day02/@BHTTV_0/000000115/000000115_000000106.wav,tại mỹ đồng minh chính của israel,tại mỹ đồng minh chính của ít xa ren,33.33333333
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@FPTBongDaOfficial_1/000000019/000000019_000000147.wav,trải nghiệm thế giới thể thao không giới hạn cùng fpt play,trải nghiệm thế giới thể thao không giới hạn cùng ép pê tê pờ lây,33.33333333
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@FPTBongDaOfficial_1/000000126/000000126_000000137.wav,trải nghiệm thế giới thể thao không giới hạn cùng fpt play,trải nghiệm thế giới thể thao không giới hạn cùng ép pê tê pờ lây,33.33333333
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@mykingdom_0/000000126/000000126_000000041.wav,đóng gói bưu phẩm,được thôi đóng gói bưu phẩm,33.33333333
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@PhimVietNamTHVL1_1/000000004/000000004_000000545.wav,đưa đây đưa đây,đưa đây đưa đây lại đây,33.33333333
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@FPTBongDaOfficial_1/000000070/000000070_000000112.wav,lukaku vẫn sẽ là nhân vật chính,lu ka ku vẫn sẽ là nhân vật chính,33.33333333
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@MyTVSportsOfficial_1/000000047/000000047_000000069.wav,quá trình tìm kiếm người kế nhiệm cho thomas thuchel,quá trình tìm kiếm người kế nhiệm cho thô mát tu cồ,33.33333333
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day02/@BHTTV_0/000000108/000000108_000000812.wav,hoặc thậm chí usb chiếu phim truyền hình hàn quốc,hoặc thậm chí u ét bê chứa phim truyền hình hàn quốc,33.33333333
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@FPTBongDaOfficial_1/000000148/000000148_000000126.wav,trải nghiệm thế giới thể thao không giới hạn cùng fpt play,trải nghiệm thế giới thể thao không giới hạn cùng ép pê tê pờ lây,33.33333333
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@FPTBongDaOfficial_1/000000073/000000073_000000212.wav,trải nghiệm thế giới thể thao không giới hạn cùng fpt play,trải nghiệm thế giới thể thao không giới hạn cùng ép pê tê pờ lây,33.33333333
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day03/@ChaoTrang_0/000000011/000000011_000000083.wav,cái ông đạo diễn gì đó tên là david david,cái ông đạo diễn gì đó tên là đa vít đa vít,33.33333333
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@MyTVSportsOfficial_1/000000084/000000084_000000042.wav,rút không vào,sút không vào,33.33333333
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@FPTBongDaOfficial_1/000000031/000000031_000000254.wav,có thể làm được,ai cũng có thể làm được,33.33333333
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day02/@dongtaypromotionofficial_0/000000042/000000042_000000340.wav,câu hỏi của chị puca tại một cuộc thi trong lễ hội ăn mừng năm mới,em chọn chị pu ca câu hỏi của chị pu ca tại một cuộc thi trong lễ hội ăn mừng năm mới,31.81818182
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day03/@dongtaypromotionofficial_1/000000073/000000073_000000484.wav,và gia đình thật nhiều sức khỏe nha cảm ơn vui nha,và gia đình thật nhiều sức khỏe nha dạ cảm ơn anh cảm ơn trung nha,31.25
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day02/@BHTTV_0/000000115/000000115_000000077.wav,phần lan latvia bà lan và có thông tin cả đức,phần lan lát vi a ba lan và có thông tin cả đức,30.76923077
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@WEBTHETHAOVN_0/000000056/000000056_000000106.wav,cô gái kazakhstan với phát bóng là đoàn thị lâm oanh,cô gái ca giác tăng người phát bóng là đoàn thị lâm oanh,30.76923077
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day01/@truyenhinhnghean_1/000000052/000000052_000000785.wav,trong các trận đánh ác liệt trên đường phố marawi,trong các trận đánh ác liệt trên đường phố ma ri ô bôn,30.76923077
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day01/@PTTH-TRT_1/000000061/000000061_000000814.wav,vậy thì nó sẽ làm cái chất nhầy ở,bởi vì như vậy á thì nó sẽ làm cái chất nhầy ở,30.76923077
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day02/@dongtaypromotionofficial_0/000000004/000000004_000000328.wav,youtube ủa nhà sáng tạo nội dung về mảng nào con,dui tu be ủa nhà sáng tạo nội dung về mãng nào con,30.76923077
